2,1555538926,1555539227
1,1555539227,1555539462
2,1555539462,1555539945
1,1555539945,1555540278
2,1555540278,1555540603
1,1555540603,1555541003
2,1555541003,1555541298
1,1555541298,1555542229
2,1555542229,1555542230
1,1555542230,1555542882
2,1555542882,1555543139
1,1555543139,1555543252
2,1555543252,1555543382
1,1555543382,1555543575
2,1555543575,1555543877
1,1555543877,1555543878
2,1555543878,1555544059
1,1555544059,1555544060
2,1555544060,1555544262
1,1555544262,1555544479
2,1555544479,1555545007
1,1555545007,1555545416
